"id";"Libellé";"Catégorie";"Marque";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Code-barres";"Type de déclinaison";"Prix soldé";"Emplacement";"Référence externe";"Compte comptable";"points +";"points -";"Affichable";"En ligne";"Image";"Stock";"Catégorie";"Poids";"Libellé court"
"76";"MUSCADE POUDRE BIO AB";"VRAC";"N/A";"0.03914";"Keramis";"";"0.05368";"0.05500";"2430000000768";"";"0.04542";"";"";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"MUSCADE POUDRE"
"77";"PAPRIKA DOUX POUDRE BIO AB AOP";"VRAC";"N/A";"0.03098";"Keramis";"";"0.04249";"0.05500";"2430000000775";"";"0.03595";"";"";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"PAPRIKA DOUX POUDRE"
"79";"PIMENT DE CAYENNE POUDRE BIO AB";"VRAC";"N/A";"0.03011";"Keramis";"";"0.04130";"0.05500";"2430000000799";"";"0.03494";"";"";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"PIMENT DE CAYENNE POUDRE"
"80";"POIVRE BLANC POUDRE BIO AB";"VRAC";"N/A";"0.04210";"Keramis";"";"0.05774";"0.05500";"2430000000805";"";"0.04886";"";"";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"POIVRE BLANC POUDRE"
"81";"POIVRE BLANC GRAINS BIO AB";"VRAC";"N/A";"0.04116";"Keramis";"";"0.05645";"0.05500";"2430000000812";"";"0.04777";"";"";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"POIVRE BLANC GRAINS"
"82";"POIVRE NOIR POUDRE BIO AB";"VRAC";"N/A";"0.02380";"Keramis";"";"0.03264";"0.05500";"2430000000829";"";"0.02762";"";"";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"POIVRE NOIR POUDRE"
"83";"POIVRE NOIR GRAINS BIO AB";"VRAC";"N/A";"0.02284";"Keramis";"";"0.03133";"0.05500";"2430000000836";"";"0.02651";"";"";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"POIVRE NOIR GRAINS"
"85";"PUR JUS DE CITRON (1L) PHILIA";"Epicerie sec";"N/A";"3.86000";"Relais Vert";"";"5.29000";"0.05500";"3520836130087";"";"4.48000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"1000.00";"JUS DE CITRON"
"86";"FARINE PETIT ÉPEAUTRE BIO";"VRAC";"N/A";"0.00374";"Du bio dans l'assiette";"";"0.00513";"0.05500";"2430000000867";"";"0.00434";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"FARINE PETIT ÉPEAUTRE"
"87";"FARINE GRAND ÉPEAUTRE BIO";"VRAC";"N/A";"0.00357";"Du bio dans l'assiette";"";"0.00490";"0.05500";"2430000000874";"";"0.00414";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"FARINE GRAND ÉPEAUTRE"
"88";"FARINE BLÉ T65 BIO";"VRAC";"N/A";"0.00154";"Du bio dans l'assiette";"";"0.00211";"0.05500";"2430000000881";"";"0.00179";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"FARINE BLÉ T65"
"90";"FARINE BLÉ ANCIEN T80 BIO";"VRAC";"N/A";"0.00220";"Du bio dans l'assiette";"";"0.00302";"0.05500";"2430000000904";"";"0.00255";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"FARINE BLÉ ANCIEN T80"
